RA,ra_num,ano_base,Fase_num,INDE_final,INDE_prev,delta_INDE,queda,IPS,IPS_prev
RA-161,161,2023,5,6.250166667,7.957,-1.7068333329999996,1,2.52,5.6
RA-161,161,2024,5,7.258445588333334,6.250166667,1.0082789213333339,0,6.26,2.52
RA-162,162,2022,4,7.215,,,0,7.5,
RA-163,163,2022,4,6.797,,,0,5.6,
RA-164,164,2022,4,6.776,,,0,5.6,
RA-164,164,2023,5,5.638666667,6.776,-1.137333333,1,2.52,5.6
RA-164,164,2024,5,6.837125731066667,5.638666667,1.1984590640666672,0,6.26,2.52
RA-165,165,2022,4,8.063,,,0,5.6,
RA-165,165,2023,5,7.583433333,8.063,-0.4795666670000003,1,2.52,5.6
RA-165,165,2024,5,8.4627502436,7.583433333,0.8793169106000001,0,7.51,2.52
RA-166,166,2022,4,8.253,,,0,6.3,
RA-166,166,2023,5,8.105583333,8.253,-0.1474166669999999,1,6.26,6.3
RA-166,166,2024,7,8.243183333333334,8.105583333,0.1376000003333342,0,6.5725,6.26
RA-167,167,2022,4,7.798,,,0,5.6,
RA-167,167,2023,5,7.806141667,7.798,0.008141667000000297,0,5.0,5.6
RA-167,167,2024,6,8.033470175466666,7.806141667,0.22732850846666608,0,6.26,5.0
RA-168,168,2022,4,6.917,,,0,6.3,
RA-168,168,2023,5,6.483083333,6.917,-0.4339166670000001,1,6.89,6.3
RA-169,169,2022,4,5.159,,,0,6.3,
RA-170,170,2022,4,7.007,,,0,5.6,
RA-170,170,2023,3,7.062433333,7.007,0.05543333300000075,0,2.52,5.6
RA-170,170,2024,4,7.646383333300001,7.062433333,0.5839500003000007,0,5.635,2.52
RA-171,171,2022,4,6.581,,,0,7.5,
RA-171,171,2023,5,6.293083333,6.581,-0.2879166670000002,1,5.0,7.5
RA-171,171,2024,6,7.3289333333333335,6.293083333,1.0358500003333333,0,5.635,5.0
RA-172,172,2022,4,8.673,,,0,9.4,
RA-172,172,2023,7,,8.673,,0,3.77,9.4
RA-172,172,2024,7,8.128766666666667,,,0,6.57,3.77
RA-173,173,2022,4,7.816,,,0,6.9,
RA-173,173,2023,5,7.757466667,7.816,-0.05853333299999974,1,6.26,6.9
RA-173,173,2024,8,,7.757466667,,0,,6.26
RA-174,174,2022,4,6.075,,,0,7.5,
RA-174,174,2023,4,6.1242,6.075,0.04919999999999991,0,5.0,7.5
RA-175,175,2022,4,6.75,,,0,5.6,
RA-175,175,2023,5,6.569516667,6.75,-0.18048333299999975,1,2.52,5.6
RA-175,175,2024,6,8.024136842133334,6.569516667,1.4546201751333339,0,6.26,2.52
RA-176,176,2022,3,8.427,,,0,5.6,
RA-176,176,2023,4,8.316833333,8.427,-0.11016666699999966,1,2.52,5.6
RA-176,176,2024,5,8.828632575733334,8.316833333,0.5117992427333338,0,6.26,2.52
RA-177,177,2022,3,7.424,,,0,4.4,
RA-178,178,2022,3,7.025,,,0,4.4,
RA-178,178,2023,4,7.406658333,7.025,0.38165833299999985,0,2.52,4.4
RA-178,178,2024,5,7.234168831200001,7.406658333,-0.17248950179999945,1,6.26,2.52
RA-179,179,2022,3,7.993,,,0,7.5,
RA-179,179,2023,3,8.437641667,7.993,0.4446416669999991,0,7.52,7.5
RA-179,179,2024,4,8.932712280733334,8.437641667,0.4950706137333345,0,9.38,7.52
RA-180,180,2022,3,8.442,,,0,6.3,
RA-180,180,2023,4,8.283216667,8.442,-0.15878333300000058,1,2.52,6.3
RA-180,180,2024,5,8.801463636333335,8.283216667,0.5182469693333349,0,7.51,2.52
RA-181,181,2022,3,8.623,,,0,8.8,
RA-181,181,2023,4,7.671208333,8.623,-0.9517916669999993,1,2.52,8.8
RA-181,181,2024,5,7.439841414133334,7.671208333,-0.23136691886666583,1,6.26,2.52
RA-182,182,2022,3,6.328,,,0,7.5,
RA-183,183,2022,3,7.3,,,0,7.5,
RA-183,183,2023,3,7.586241667,7.3,0.28624166700000053,0,2.52,7.5
RA-183,183,2024,4,8.266902371533334,7.586241667,0.6806607045333335,0,6.26,2.52
RA-184,184,2022,3,7.28,,,0,7.5,
RA-184,184,2023,4,8.430241667,7.28,1.1502416670000004,0,7.52,7.5
RA-184,184,2024,5,8.471456704266666,8.430241667,0.04121503726666553,0,6.26,7.52
RA-185,185,2022,3,6.615,,,0,7.5,
RA-186,186,2022,3,7.832,,,0,7.5,
RA-186,186,2023,4,7.817541667,7.832,-0.014458332999999435,1,2.52,7.5
RA-186,186,2024,5,8.325963636333334,7.817541667,0.5084219693333338,0,6.26,2.52
RA-187,187,2022,3,7.928,,,0,7.5,
RA-187,187,2023,3,7.809875,7.928,-0.11812500000000004,1,2.52,7.5
RA-187,187,2024,4,8.568424074066666,7.809875,0.758549074066666,0,5.635,2.52
RA-188,188,2022,3,5.307,,,0,7.5,
RA-189,189,2022,3,7.629,,,0,5.0,
RA-189,189,2023,4,7.727325,7.629,0.09832500000000088,0,2.52,5.0
RA-189,189,2024,5,8.586533333333334,7.727325,0.8592083333333331,0,6.255,2.52
RA-190,190,2022,3,7.335,,,0,8.8,
RA-190,190,2023,3,6.934158333,7.335,-0.4008416669999999,1,2.52,8.8
RA-191,191,2022,3,8.74,,,0,8.8,
RA-191,191,2023,4,7.263666667,8.74,-1.4763333330000004,1,2.52,8.8
RA-191,191,2024,7,7.7887,7.263666667,0.5250333330000005,0,5.945,2.52
RA-192,192,2022,3,4.932,,,0,7.5,
RA-192,192,2023,4,6.616016667,4.932,1.6840166669999999,0,5.0,7.5
RA-192,192,2024,5,6.882960606066668,6.616016667,0.26694393906666747,0,7.51,5.0
RA-193,193,2022,3,8.155,,,0,5.6,
RA-193,193,2023,4,7.718566667,8.155,-0.4364333329999992,1,2.52,5.6
RA-193,193,2024,5,8.465046969666668,7.718566667,0.7464803026666678,0,6.26,2.52
RA-194,194,2022,3,4.265,,,0,5.0,
RA-195,195,2022,3,8.017,,,0,5.0,
RA-195,195,2023,4,7.60205,8.017,-0.41494999999999926,1,2.52,5.0
RA-195,195,2024,5,8.4690496032,7.60205,0.8669996032,0,6.26,2.52
RA-196,196,2022,3,8.124,,,0,7.5,
RA-196,196,2023,4,7.560991667,8.124,-0.5630083330000009,1,2.52,7.5
RA-196,196,2024,5,8.823550937933334,7.560991667,1.262559270933334,0,7.51,2.52
RA-197,197,2022,3,8.218,,,0,4.4,
RA-197,197,2023,4,7.967608333,8.218,-0.2503916669999997,1,2.52,4.4
RA-197,197,2024,5,8.568238636333334,7.967608333,0.6006303033333333,0,6.26,2.52
RA-198,198,2022,3,5.554,,,0,5.0,
RA-199,199,2022,3,7.564,,,0,7.5,
RA-199,199,2023,3,7.892341667,7.564,0.3283416670000001,0,7.51,7.5
RA-199,199,2024,4,7.419398245666667,7.892341667,-0.47294342133333345,1,6.88,7.51
