RA,ra_num,ano_base,Fase_num,IAN,IPP
RA-566,566,2023,2,5.0,8.958333333
RA-555,555,2023,2,5.0,6.25
RA-373,373,2023,2,5.0,8.75
RA-1105,1105,2023,2,5.0,8.125
RA-546,546,2023,2,5.0,8.75
RA-557,557,2023,2,10.0,9.375
RA-1106,1106,2023,2,5.0,8.333333333
RA-558,558,2023,2,2.5,6.458333333
RA-560,560,2023,2,5.0,5.0
RA-1107,1107,2023,2,5.0,8.958333333
RA-1108,1108,2023,2,5.0,8.541666667
RA-542,542,2023,2,5.0,8.75
RA-543,543,2023,2,10.0,8.75
RA-556,556,2023,2,5.0,9.166666667
RA-1109,1109,2023,2,5.0,7.5
RA-389,389,2023,2,5.0,8.75
RA-1110,1110,2023,2,5.0,8.541666667
RA-568,568,2023,2,2.5,8.125
RA-562,562,2023,2,5.0,8.541666667
RA-1111,1111,2023,2,10.0,8.125
RA-1112,1112,2023,2,5.0,8.333333333
RA-525,525,2023,2,5.0,8.958333333
RA-357,357,2023,2,5.0,8.75
RA-583,583,2023,2,5.0,8.333333333
RA-584,584,2023,2,10.0,8.333333333
RA-586,586,2023,2,10.0,8.333333333
RA-1113,1113,2023,2,5.0,7.5
RA-413,413,2023,2,5.0,7.291666667
RA-599,599,2023,2,10.0,8.333333333
RA-1114,1114,2023,2,10.0,8.125
RA-401,401,2023,2,5.0,7.083333333
RA-1115,1115,2023,2,10.0,7.5
RA-1116,1116,2023,2,5.0,7.083333333
RA-604,604,2023,2,10.0,8.125
RA-605,605,2023,2,5.0,7.291666667
RA-668,668,2023,2,5.0,6.875
RA-1117,1117,2023,2,10.0,7.708333333
RA-1118,1118,2023,2,5.0,7.708333333
RA-610,610,2023,2,10.0,8.541666667
RA-409,409,2023,2,5.0,7.916666667
RA-466,466,2023,2,5.0,6.25
RA-760,760,2023,2,5.0,7.083333333
RA-404,404,2023,2,5.0,6.875
RA-590,590,2023,2,10.0,7.291666667
RA-469,469,2023,2,5.0,7.916666667
RA-1119,1119,2023,2,5.0,7.708333333
RA-1120,1120,2023,2,10.0,8.958333333
RA-472,472,2023,2,5.0,7.708333333
RA-1121,1121,2023,2,10.0,8.75
RA-1122,1122,2023,2,10.0,7.291666667
RA-438,438,2023,2,10.0,6.458333333
RA-408,408,2023,2,5.0,8.333333333
RA-1123,1123,2023,2,5.0,7.083333333
RA-1124,1124,2023,2,5.0,7.083333333
RA-623,623,2023,2,5.0,7.291666667
RA-661,661,2023,2,10.0,7.5
RA-626,626,2023,2,5.0,7.291666667
RA-433,433,2023,2,5.0,5.833333333
RA-614,614,2023,2,5.0,8.333333333
RA-434,434,2023,2,5.0,7.5
RA-603,603,2023,2,10.0,7.708333333
RA-436,436,2023,2,5.0,6.875
RA-616,616,2023,2,5.0,5.833333333
RA-437,437,2023,2,5.0,7.291666667
RA-1125,1125,2023,2,10.0,6.666666667
RA-619,619,2023,2,10.0,7.708333333
RA-620,620,2023,2,5.0,6.875
RA-1126,1126,2023,2,5.0,7.291666667
RA-1127,1127,2023,2,10.0,8.125
RA-1128,1128,2023,2,5.0,7.916666667
RA-1129,1129,2023,2,10.0,7.916666667
RA-1130,1130,2023,2,10.0,7.708333333
RA-1131,1131,2023,2,5.0,8.75
RA-1132,1132,2023,2,5.0,7.916666667
RA-1133,1133,2023,2,10.0,8.541666667
RA-1134,1134,2023,2,10.0,7.916666667
RA-618,618,2023,2,5.0,8.125
RA-631,631,2023,2,5.0,7.916666667
RA-646,646,2023,2,5.0,8.958333333
RA-451,451,2023,2,5.0,9.375
RA-1135,1135,2023,2,10.0,8.125
RA-649,649,2023,2,5.0,8.75
RA-651,651,2023,2,10.0,8.75
RA-1136,1136,2023,2,5.0,8.333333333
RA-653,653,2023,2,5.0,9.166666667
RA-456,456,2023,2,5.0,9.583333333
