ano_base,Fase_num,IDA_faixa,IEG_faixa,IPS_faixa,IPP_faixa,n,inde_medio
2023,1,Q4_alto,Q1_baixo,Q4_alto,Q3,0,
2023,1,Q4_alto,Q1_baixo,Q4_alto,Q4_alto,1,7.85605
2023,1,Q4_alto,Q2,Q1_baixo,Q1_baixo,0,
2023,1,Q4_alto,Q2,Q1_baixo,Q2,0,
2023,1,Q4_alto,Q2,Q1_baixo,Q3,1,7.419925
2023,1,Q4_alto,Q2,Q1_baixo,Q4_alto,1,8.008408333
2023,1,Q4_alto,Q2,Q2,Q1_baixo,0,
2023,1,Q4_alto,Q2,Q2,Q2,1,6.505333333
2023,1,Q4_alto,Q2,Q2,Q3,0,
2023,1,Q4_alto,Q2,Q2,Q4_alto,2,7.4079958335
2023,1,Q4_alto,Q2,Q3,Q1_baixo,0,
2023,1,Q4_alto,Q2,Q3,Q2,0,
2023,1,Q4_alto,Q2,Q3,Q3,0,
2023,1,Q4_alto,Q2,Q3,Q4_alto,0,
2023,1,Q4_alto,Q2,Q4_alto,Q1_baixo,0,
2023,1,Q4_alto,Q2,Q4_alto,Q2,1,8.299533333
2023,1,Q4_alto,Q2,Q4_alto,Q3,1,8.137866667
2023,1,Q4_alto,Q2,Q4_alto,Q4_alto,3,8.002452777666667
2023,1,Q4_alto,Q3,Q1_baixo,Q1_baixo,0,
2023,1,Q4_alto,Q3,Q1_baixo,Q2,0,
2023,1,Q4_alto,Q3,Q1_baixo,Q3,1,8.166866667
2023,1,Q4_alto,Q3,Q1_baixo,Q4_alto,2,8.1717208335
2023,1,Q4_alto,Q3,Q2,Q1_baixo,0,
2023,1,Q4_alto,Q3,Q2,Q2,0,
2023,1,Q4_alto,Q3,Q2,Q3,0,
2023,1,Q4_alto,Q3,Q2,Q4_alto,3,8.098591666999999
2023,1,Q4_alto,Q3,Q3,Q1_baixo,0,
2023,1,Q4_alto,Q3,Q3,Q2,0,
2023,1,Q4_alto,Q3,Q3,Q3,0,
2023,1,Q4_alto,Q3,Q3,Q4_alto,1,8.472533333
2023,1,Q4_alto,Q3,Q4_alto,Q1_baixo,1,7.890533333
2023,1,Q4_alto,Q3,Q4_alto,Q2,4,8.09178333325
2023,1,Q4_alto,Q3,Q4_alto,Q3,4,8.2154625
2023,1,Q4_alto,Q3,Q4_alto,Q4_alto,5,7.931085
2023,1,Q4_alto,Q4_alto,Q1_baixo,Q1_baixo,1,6.768666667
2023,1,Q4_alto,Q4_alto,Q1_baixo,Q2,0,
2023,1,Q4_alto,Q4_alto,Q1_baixo,Q3,0,
2023,1,Q4_alto,Q4_alto,Q1_baixo,Q4_alto,3,7.859299999666667
2023,1,Q4_alto,Q4_alto,Q2,Q1_baixo,0,
2023,1,Q4_alto,Q4_alto,Q2,Q2,0,
2023,1,Q4_alto,Q4_alto,Q2,Q3,0,
2023,1,Q4_alto,Q4_alto,Q2,Q4_alto,4,8.41180625
2023,1,Q4_alto,Q4_alto,Q3,Q1_baixo,0,
2023,1,Q4_alto,Q4_alto,Q3,Q2,0,
2023,1,Q4_alto,Q4_alto,Q3,Q3,0,
2023,1,Q4_alto,Q4_alto,Q3,Q4_alto,1,8.367866667
2023,1,Q4_alto,Q4_alto,Q4_alto,Q1_baixo,1,7.7167
2023,1,Q4_alto,Q4_alto,Q4_alto,Q2,0,
2023,1,Q4_alto,Q4_alto,Q4_alto,Q3,4,8.40360625
2023,1,Q4_alto,Q4_alto,Q4_alto,Q4_alto,7,8.483021428428572
2023,2,Q1_baixo,Q1_baixo,Q1_baixo,Q1_baixo,2,5.4189166669999995
2023,2,Q1_baixo,Q1_baixo,Q1_baixo,Q2,1,6.277533333
2023,2,Q1_baixo,Q1_baixo,Q1_baixo,Q3,0,
2023,2,Q1_baixo,Q1_baixo,Q1_baixo,Q4_alto,1,6.0197
2023,2,Q1_baixo,Q1_baixo,Q2,Q1_baixo,0,
2023,2,Q1_baixo,Q1_baixo,Q2,Q2,0,
2023,2,Q1_baixo,Q1_baixo,Q2,Q3,1,6.404533333
2023,2,Q1_baixo,Q1_baixo,Q2,Q4_alto,0,
2023,2,Q1_baixo,Q1_baixo,Q3,Q1_baixo,0,
2023,2,Q1_baixo,Q1_baixo,Q3,Q2,0,
2023,2,Q1_baixo,Q1_baixo,Q3,Q3,0,
2023,2,Q1_baixo,Q1_baixo,Q3,Q4_alto,0,
2023,2,Q1_baixo,Q1_baixo,Q4_alto,Q1_baixo,3,5.898266666666667
2023,2,Q1_baixo,Q1_baixo,Q4_alto,Q2,1,5.636666667
2023,2,Q1_baixo,Q1_baixo,Q4_alto,Q3,0,
2023,2,Q1_baixo,Q1_baixo,Q4_alto,Q4_alto,0,
2023,2,Q1_baixo,Q2,Q1_baixo,Q1_baixo,3,5.516411111
2023,2,Q1_baixo,Q2,Q1_baixo,Q2,0,
2023,2,Q1_baixo,Q2,Q1_baixo,Q3,1,6.413466667
2023,2,Q1_baixo,Q2,Q1_baixo,Q4_alto,2,7.1963666669999995
2023,2,Q1_baixo,Q2,Q2,Q1_baixo,0,
2023,2,Q1_baixo,Q2,Q2,Q2,0,
2023,2,Q1_baixo,Q2,Q2,Q3,0,
2023,2,Q1_baixo,Q2,Q2,Q4_alto,0,
2023,2,Q1_baixo,Q2,Q3,Q1_baixo,2,6.601533333
2023,2,Q1_baixo,Q2,Q3,Q2,0,
2023,2,Q1_baixo,Q2,Q3,Q3,0,
2023,2,Q1_baixo,Q2,Q3,Q4_alto,0,
